key,nubKey,nameKey,taxonID,sourceTaxonKey,kingdom,kingdomKey,datasetKey,constituentKey,scientificName,canonicalName,authorship,nameType,rank,origin,taxonomicStatus,nomenclaturalStatus,remarks,numDescendants,lastCrawled,lastInterpreted,issues,vernacularName,phylum,phylumKey,parentKey,parent,publishedIn
0,0,130332213,gbif:0,0,incertae sedis,0,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,incertae sedis,incertae sedis,,PLACEHOLDER,KINGDOM,SOURCE,DOUBTFUL,[],,3613,2023-08-22T23:20:59.545+00:00,2023-08-22T23:19:21.731+00:00,[],,,,,,
1,1,130188353,gbif:1,1,Animalia,1,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,Animalia,Animalia,,SCIENTIFIC,KINGDOM,SOURCE,ACCEPTED,[],,2981931,2023-08-22T23:20:59.545+00:00,2023-08-22T22:11:51.237+00:00,[],Animals,,,,,
2,2,130277256,gbif:2,170809364,Archaea,2,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,Archaea,Archaea,,SCIENTIFIC,KINGDOM,SOURCE,ACCEPTED,[],,4358,2023-08-22T23:20:59.545+00:00,2023-08-22T22:52:34.813+00:00,[],Archaea,,,,,
3,3,130277260,gbif:3,3,Bacteria,3,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,Bacteria,Bacteria,,SCIENTIFIC,KINGDOM,SOURCE,ACCEPTED,[],,67224,2023-08-22T23:20:59.545+00:00,2023-08-22T22:52:35.110+00:00,[],Bacteria,,,,,
4,4,130277610,gbif:4,172299416,Chromista,4,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,Chromista,Chromista,,SCIENTIFIC,KINGDOM,SOURCE,ACCEPTED,[],,163420,2023-08-22T23:20:59.545+00:00,2023-08-22T22:53:01.037+00:00,[],"Kelp, Diatoms, And Allies",,,,,
5,5,130279178,gbif:5,5,Fungi,5,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,Fungi,Fungi,,SCIENTIFIC,KINGDOM,SOURCE,ACCEPTED,[],,486142,2023-08-22T23:20:59.545+00:00,2023-08-22T22:54:41.047+00:00,[],Fungi,,,,,
6,6,130293770,gbif:6,6,Plantae,6,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,Plantae,Plantae,,SCIENTIFIC,KINGDOM,SOURCE,ACCEPTED,[],,716896,2023-08-22T23:20:59.545+00:00,2023-08-22T23:01:27.670+00:00,[],Plants,,,,,
7,7,130322419,gbif:7,170809337,Protozoa,7,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,Protozoa,Protozoa,,SCIENTIFIC,KINGDOM,SOURCE,ACCEPTED,[],,9113,2023-08-22T23:20:59.545+00:00,2023-08-22T23:18:47.242+00:00,[],Protozoans,,,,,
8,8,130323256,gbif:8,170809368,Viruses,8,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,Viruses,Viruses,,SCIENTIFIC,KINGDOM,SOURCE,ACCEPTED,[],,19564,2023-08-22T23:20:59.545+00:00,2023-08-22T23:18:56.817+00:00,[],Viruses,,,,,
9,9,6689984,gbif:9,117196334,Plantae,6,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,daacce49-b206-469b-8dc2-2257719f3afa,Marchantiophyta,Marchantiophyta,,SCIENTIFIC,PHYLUM,SOURCE,ACCEPTED,[],,12141,2023-08-22T23:20:59.545+00:00,2023-08-22T23:18:32.752+00:00,[],liverwort,Marchantiophyta,9.0,6.0,Plantae,"Crandall-Stotler, B. J., & Stotler, R. E. (2000). Morphology and classification of the Marchantiophyta. In A. J. Shaw & B. Goffinet, Bryophyte Biology (pp. 21–70). Cambridge University Press. https://www.tropicos.org/reference/9021946"
